activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 2 in epoch 4,4,,,,,,[1.],[0.],,,,,,,,,2,,sample_info,,[1.],,,
0.6323964220322463,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.54251132]
0.5819461384597882,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[0.33076762]
0.4999431653224358,,Output neuron 0 forward pass,,[0.50005683],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.00022734]
,,MSE loss calculation,,,,,,,,,0.2500568379077448,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.12501421],,,,,,0,,,,,0.4999431653224358,[0.50005683],,0.24999999676981946,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.01559742],[-0.00362595],,,,,,0,,,,,,,,0.2324711874330593,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.01585766],[0.00385793],,,,,,1,,,,,,,,0.24328483039152923,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.00181298],,,,,,[0.54585386],,[0.54766683],,,,,weight_update_input_hidden,,,0,[-0.00181298],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.00192896],,,,,,[0.33564999],,[0.33372103],,,,,weight_update_input_hidden,,,1,[0.00192896],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.],,,,,,[0.60844943],,[0.60844943],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.],,,,,,[0.93042288],,[0.93042288],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.03952927],,,,,,[-0.08523592],,[-0.12476519],,,,,weight_update_hidden_output,,,0,[0.03952927],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.03637577],,,,,,[0.16322259],,[0.12684683],,,,,weight_update_hidden_output,,,0,[0.03637577],
,[-0.00181298],Bias update: hidden neuron 0,,,,,,[-0.00181298],,,,0,[-0.00696848],,[-0.00515551],,,,,,bias_update_hidden,,,,,
,[0.00192896],Bias update: hidden neuron 1,,,,,,[0.00192896],,,,1,[-0.00102445],,[-0.00295341],,,,,,bias_update_hidden,,,,,
,[0.0625071],Bias update: output neuron 0,,,,,,[0.0625071],,,,0,[0.0673628],,[0.0048557],,,,,,bias_update_output,,,,,
