activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 2 in epoch 2,2,,,,,,[1.],[0.],,,,,,,,,2,,sample_info,,[1.],,,
0.6333118243123067,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.54645108]
0.5821943049095105,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[0.33178777]
0.49937020229550505,,Output neuron 0 forward pass,,[0.5006298],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.00251919]
,,MSE loss calculation,,,,,,,,,0.25063019434964345,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.12515725],,,,,,0,,,,,0.49937020229550505,[0.5006298],,0.24999960335485139,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.01584505],[-0.00367966],,,,,,0,,,,,,,,0.23222795749852468,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.0156612],[0.00380949],,,,,,1,,,,,,,,0.2432440962404424,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.00183983],,,,,,[0.54740213],,[0.54924197],,,,,weight_update_input_hidden,,,0,[-0.00183983],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.00190475],,,,,,[0.33548297],,[0.33357822],,,,,weight_update_input_hidden,,,1,[0.00190475],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.],,,,,,[0.61139914],,[0.61139914],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.],,,,,,[0.93198093],,[0.93198093],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.03963178],,,,,,[-0.08696933],,[-0.12660111],,,,,weight_update_hidden_output,,,0,[0.03963178],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.03643292],,,,,,[0.16156511],,[0.12513219],,,,,weight_update_hidden_output,,,0,[0.03643292],
,[-0.00183983],Bias update: hidden neuron 0,,,,,,[-0.00183983],,,,0,[-0.00463071],,[-0.00279088],,,,,,bias_update_hidden,,,,,
,[0.00190475],Bias update: hidden neuron 1,,,,,,[0.00190475],,,,1,[0.0001143],,[-0.00179045],,,,,,bias_update_hidden,,,,,
,[0.06257863],Bias update: output neuron 0,,,,,,[0.06257863],,,,0,[0.06738617],,[0.00480754],,,,,,bias_update_output,,,,,
