epoch,average_loss,total_samples,best_loss_so_far
0,0.2649297290213536,4,0.2649297290213536
1,0.2649139145721855,4,0.2649139145721855
2,0.26489972437661,4,0.26489972437661
3,0.26488670830032784,4,0.26488670830032784
4,0.26487455318870945,4,0.26487455318870945
5,0.26486303872407,4,0.26486303872407
6,0.264852008071566,4,0.264852008071566
7,0.26484134823549443,4,0.26484134823549443
8,0.26483097681772255,4,0.26483097681772255
9,0.2648208330177236,4,0.2648208330177236
10,0.26481087145895865,4,0.26481087145895865
11,0.2648010579111167,4,0.2648010579111167
12,0.26479136629375283,4,0.26479136629375283
13,0.26478177655346163,4,0.26478177655346163
14,0.2647722731422108,4,0.2647722731422108
15,0.2647628439136798,4,0.2647628439136798
16,0.26475347931346177,4,0.26475347931346177
17,0.26474417177824117,4,0.26474417177824117
18,0.26473491528533377,4,0.26473491528533377
19,0.26472570501168646,4,0.26472570501168646
20,0.26471653707347875,4,0.26471653707347875
21,0.26470740832572304,4,0.26470740832572304
22,0.2646983162069865,4,0.2646983162069865
23,0.26468925861836373,4,0.26468925861836373
24,0.2646802338286672,4,0.2646802338286672
25,0.2646712403998357,4,0.2646712403998357
26,0.264662277128038,4,0.264662277128038
27,0.26465334299702603,4,0.26465334299702603
28,0.2646444371410965,4,0.2646444371410965
29,0.26463555881561807,4,0.26463555881561807
30,0.26462670737353877,4,0.26462670737353877
31,0.2646178822466294,4,0.2646178822466294
32,0.2646090829304915,4,0.2646090829304915
33,0.2646003089725592,4,0.2646003089725592
34,0.2645915599624901,4,0.2645915599624901
35,0.264582835524461,4,0.264582835524461
36,0.26457413531098745,4,0.26457413531098745
37,0.2645654589979619,4,0.2645654589979619
38,0.2645568062806664,4,0.2645568062806664
39,0.26454817687056786,4,0.26454817687056786
40,0.264539570492739,4,0.264539570492739
41,0.26453098688378146,4,0.26453098688378146
42,0.2645224257901525,4,0.2645224257901525
43,0.26451388696681444,4,0.26451388696681444
44,0.2645053701761441,4,0.2645053701761441
45,0.2644968751870507,4,0.2644968751870507
46,0.26448840177426086,4,0.26448840177426086
47,0.26447994971773925,4,0.26447994971773925
48,0.264471518802216,4,0.264471518802216
49,0.2644631088168018,4,0.2644631088168018
50,0.2644547195546735,4,0.2644547195546735
51,0.2644463508128145,4,0.2644463508128145
52,0.26443800239180226,4,0.26443800239180226
53,0.26442967409563023,4,0.26442967409563023
54,0.26442136573156105,4,0.26442136573156105
55,0.264413077110002,4,0.264413077110002
56,0.2644048080444003,4,0.2644048080444003
57,0.26439655835115355,4,0.26439655835115355
58,0.2643883278495322,4,0.2643883278495322
59,0.26438011636161285,4,0.26438011636161285
60,0.264371923712219,4,0.264371923712219
61,0.2643637497288687,4,0.2643637497288687
62,0.2643555942417273,4,0.2643555942417273
63,0.26434745708356483,4,0.26434745708356483
64,0.2643393380897163,4,0.2643393380897163
65,0.26433123709804596,4,0.26433123709804596
66,0.2643231539489125,4,0.2643231539489125
67,0.2643150884851376,4,0.2643150884851376
68,0.26430704055197474,4,0.26430704055197474
69,0.26429900999708045,4,0.26429900999708045
70,0.26429099667048567,4,0.26429099667048567
71,0.26428300042456904,4,0.26428300042456904
72,0.26427502111403,4,0.26427502111403
73,0.2642670585958631,4,0.2642670585958631
74,0.2642591127293326,4,0.2642591127293326
75,0.264251183375948,4,0.264251183375948
76,0.26424327039943885,4,0.26424327039943885
77,0.26423537366573163,4,0.26423537366573163
78,0.2642274930429254,4,0.2642274930429254
79,0.26421962840126845,4,0.26421962840126845
80,0.2642117796131352,4,0.2642117796131352
81,0.26420394655300294,4,0.26420394655300294
82,0.2641961290974295,4,0.2641961290974295
83,0.2641883271250304,4,0.2641883271250304
84,0.2641805405164559,4,0.2641805405164559
85,0.2641727691543701,4,0.2641727691543701
86,0.2641650129234273,4,0.2641650129234273
87,0.2641572717102511,4,0.2641572717102511
88,0.26414954540341223,4,0.26414954540341223
89,0.2641418338934069,4,0.2641418338934069
90,0.2641341370726351,4,0.2641341370726351
91,0.2641264548353796,4,0.2641264548353796
92,0.2641187870777841,4,0.2641187870777841
93,0.26411113369783223,4,0.26411113369783223
94,0.2641034945953269,4,0.2641034945953269
95,0.2640958696718687,4,0.2640958696718687
96,0.2640882588308351,4,0.2640882588308351
97,0.2640806619773601,4,0.2640806619773601
98,0.2640730790183131,4,0.2640730790183131
99,0.26406550986227884,4,0.26406550986227884
100,0.26405795441953606,4,0.26405795441953606
101,0.264050412602038,4,0.264050412602038
102,0.26404288432339157,4,0.26404288432339157
103,0.2640353694988373,4,0.2640353694988373
104,0.2640278680452293,4,0.2640278680452293
105,0.26402037988101495,4,0.26402037988101495
106,0.264012904926215,4,0.264012904926215
107,0.264005443102404,4,0.264005443102404
108,0.26399799433268994,4,0.26399799433268994
109,0.26399055854169534,4,0.26399055854169534
110,0.26398313565553666,4,0.26398313565553666
111,0.2639757256018053,4,0.2639757256018053
112,0.2639683283095482,4,0.2639683283095482
113,0.26396094370924783,4,0.26396094370924783
114,0.26395357173280365,4,0.26395357173280365
115,0.26394621231351223,4,0.26394621231351223
116,0.26393886538604816,4,0.26393886538604816
117,0.2639315308864452,4,0.2639315308864452
118,0.263924208752077,4,0.263924208752077
119,0.2639168989216381,4,0.2639168989216381
120,0.26390960133512503,4,0.26390960133512503
121,0.2639023159338177,4,0.2639023159338177
122,0.2638950426602603,4,0.2638950426602603
123,0.26388778145824293,4,0.26388778145824293
124,0.26388053227278274,4,0.26388053227278274
125,0.26387329505010526,4,0.26387329505010526
126,0.26386606973762633,4,0.26386606973762633
127,0.2638588562839334,4,0.2638588562839334
128,0.2638516546387671,4,0.2638516546387671
129,0.2638444647530031,4,0.2638444647530031
130,0.263837286578634,4,0.263837286578634
131,0.26383012006875095,4,0.26383012006875095
132,0.2638229651775258,4,0.2638229651775258
133,0.2638158218601929,4,0.2638158218601929
134,0.26380869007303137,4,0.26380869007303137
135,0.2638015697733472,4,0.2638015697733472
136,0.2637944609194553,4,0.2637944609194553
137,0.26378736347066195,4,0.26378736347066195
138,0.2637802773872473,4,0.2637802773872473
139,0.2637732026304473,4,0.2637732026304473
140,0.2637661391624369,4,0.2637661391624369
141,0.26375908694631195,4,0.26375908694631195
142,0.2637520459460726,4,0.2637520459460726
143,0.26374501612660534,4,0.26374501612660534
144,0.26373799745366605,4,0.26373799745366605
145,0.2637309898938633,4,0.2637309898938633
146,0.26372399341464053,4,0.26372399341464053
147,0.2637170079842601,4,0.2637170079842601
148,0.26371003357178524,4,0.26371003357178524
149,0.26370307014706446,4,0.26370307014706446
150,0.263696117680714,4,0.263696117680714
151,0.2636891761441015,4,0.2636891761441015
152,0.2636822455093295,4,0.2636822455093295
153,0.263675325749219,4,0.263675325749219
154,0.263668416837293,4,0.263668416837293
155,0.2636615187477599,4,0.2636615187477599
156,0.2636546314554985,4,0.2636546314554985
157,0.2636477549360402,4,0.2636477549360402
158,0.26364088916555456,4,0.26364088916555456
159,0.2636340341208321,4,0.2636340341208321
160,0.26362718977926947,4,0.26362718977926947
161,0.2636203561188531,4,0.2636203561188531
162,0.26361353311814395,4,0.26361353311814395
163,0.26360672075626157,4,0.26360672075626157
164,0.26359991901286894,4,0.26359991901286894
165,0.26359312786815736,4,0.26359312786815736
166,0.2635863473028305,4,0.2635863473028305
167,0.26357957729808984,4,0.26357957729808984
168,0.2635728178356195,4,0.2635728178356195
169,0.26356606889757095,4,0.26356606889757095
170,0.2635593304665491,4,0.2635593304665491
171,0.2635526025255965,4,0.2635526025255965
172,0.2635458850581792,4,0.2635458850581792
173,0.26353917804817234,4,0.26353917804817234
174,0.26353248147984554,4,0.26353248147984554
175,0.2635257953378486,4,0.2635257953378486
176,0.2635191196071977,4,0.2635191196071977
177,0.26351245427326075,4,0.26351245427326075
178,0.26350579932174384,4,0.26350579932174384
179,0.26349915473867724,4,0.26349915473867724
180,0.2634925205104017,4,0.2634925205104017
181,0.2634858966235549,4,0.2634858966235549
182,0.26347928306505786,4,0.26347928306505786
183,0.2634726798221019,4,0.2634726798221019
184,0.26346608688213446,4,0.26346608688213446
185,0.26345950423284753,4,0.26345950423284753
186,0.26345293186216306,4,0.26345293186216306
187,0.26344636975822106,4,0.26344636975822106
188,0.26343981790936666,4,0.26343981790936666
