activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 1000,1000,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.290558887753588,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[-0.89267123]
0.3808504776490387,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-0.48593995]
0.5199579530139975,,Output neuron 0 forward pass,,[-0.51995795],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[0.07987425]
,,MSE loss calculation,,,,,,,,,0.2703562729025064,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.12978238],,,,,,0,,,,,0.5199579530139975,[-0.51995795],,0.24960168011149106,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.01311125],[0.00270268],,,,,,0,,,,,,,,0.20613442050098585,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.01019897],[-0.00240495],,,,,,1,,,,,,,,0.23580339132353778,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.00135134],,,,,,[0.14058699],,[0.13923565],,,,,weight_update_input_hidden,,,0,[0.00135134],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.00120248],,,,,,[0.064978],,[0.06618048],,,,,weight_update_input_hidden,,,1,[-0.00120248],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.00135134],,,,,,[-0.17986463],,[-0.18121597],,,,,weight_update_input_hidden,,,0,[0.00135134],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.00120248],,,,,,[0.09329641],,[0.09449888],,,,,weight_update_input_hidden,,,1,[-0.00120248],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.01885471],,,,,,[-0.11987961],,[-0.1010249],,,,,weight_update_hidden_output,,,0,[-0.01885471],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.02471384],,,,,,[0.05387136],,[0.0785852],,,,,weight_update_hidden_output,,,0,[-0.02471384],
,[0.00135134],Bias update: hidden neuron 0,,,,,,[0.00135134],,,,0,[-0.84933957],,[-0.85069091],,,,,,bias_update_hidden,,,,,
,[-0.00120248],Bias update: hidden neuron 1,,,,,,[-0.00120248],,,,1,[-0.64782178],,[-0.64661931],,,,,,bias_update_hidden,,,,,
,[-0.06489119],Bias update: output neuron 0,,,,,,[-0.06489119],,,,0,[0.01440753],,[0.07929872],,,,,,bias_update_output,,,,,
