activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 0 in epoch 2,2,,,,,,[0.],[0.],,,,,,,,,0,,sample_info,,[0.],,,
0.4994010571651812,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[-0.00239577]
0.4997144496653619,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-0.0011422]
0.4965887188381211,,Output neuron 0 forward pass,,[-0.49658872],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-0.01364534]
,,MSE loss calculation,,,,,,,,,0.2466003556772865,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.1241414],,,,,,0,,,,,0.4965887188381211,[-0.49658872],,0.24998836316083464,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.01717383],[0.00429345],,,,,,0,,,,,,,,0.2499996412674806,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.01352377],[-0.00338094],,,,,,1,,,,,,,,0.24999991846100642,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.],,,,,,[0.54924197],,[0.54924197],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.],,,,,,[0.33357822],,[0.33357822],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.],,,,,,[0.61394098],,[0.61394098],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.],,,,,,[0.93093871],,[0.93093871],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.03099817],,,,,,[-0.16933907],,[-0.1383409],,,,,weight_update_hidden_output,,,0,[-0.03099817],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.03101763],,,,,,[0.07792082],,[0.10893845],,,,,weight_update_hidden_output,,,0,[-0.03101763],
,[0.00214673],Bias update: hidden neuron 0,,,,,,[0.00214673],,,,0,[-0.00024905],,[-0.00239577],,,,,,bias_update_hidden,,,,,
,[-0.00169047],Bias update: hidden neuron 1,,,,,,[-0.00169047],,,,1,[-0.00283267],,[-0.0011422],,,,,,bias_update_hidden,,,,,
,[-0.0620707],Bias update: output neuron 0,,,,,,[-0.0620707],,,,0,[-0.06106656],,[0.00100414],,,,,,bias_update_output,,,,,
