activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 3,3,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.7596472155657755,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[1.15074636]
0.7801114349456447,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[1.26631588]
0.5321535296938237,,Output neuron 0 forward pass,,[-0.53215353],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[0.12879185]
,,MSE loss calculation,,,,,,,,,0.2831873791655953,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.13248822],,,,,,0,,,,,0.5321535296938237,[-0.53215353],,0.2489661505282284,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.01140122],[0.00208167],,,,,,0,,,,,,,,0.18258332344893968,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.02152133],[-0.00369172],,,,,,1,,,,,,,,0.17153758401269184,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.00104084],,,,,,[0.54766683],,[0.546626],,,,,weight_update_input_hidden,,,0,[0.00104084],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.00184586],,,,,,[0.33372103],,[0.33556689],,,,,weight_update_input_hidden,,,1,[-0.00184586],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.00104084],,,,,,[0.61096276],,[0.60992192],,,,,weight_update_input_hidden,,,0,[0.00104084],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.00184586],,,,,,[0.92935647],,[0.93120232],,,,,weight_update_input_hidden,,,1,[-0.00184586],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.05032215],,,,,,[-0.13637676],,[-0.08605461],,,,,weight_update_hidden_output,,,0,[-0.05032215],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.05167779],,,,,,[0.11076182],,[0.16243961],,,,,weight_update_hidden_output,,,0,[-0.05167779],
,[0.00104084],Bias update: hidden neuron 0,,,,,,[0.00104084],,,,0,[-0.00476072],,[-0.00580156],,,,,,bias_update_hidden,,,,,
,[-0.00184586],Bias update: hidden neuron 1,,,,,,[-0.00184586],,,,1,[-0.00229919],,[-0.00045333],,,,,,bias_update_hidden,,,,,
,[-0.06624411],Bias update: output neuron 0,,,,,,[-0.06624411],,,,0,[0.00119789],,[0.067442],,,,,,bias_update_output,,,,,
