activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 1 in epoch 2,2,,,,,,[0.],[1.],,,,,,,,,1,,sample_info,,[1.],,,
0.6487825208074693,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.61369193]
0.7166908838395322,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[0.92810604]
0.47126030112047074,,Output neuron 0 forward pass,,[0.5287397],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.11508565]
,,MSE loss calculation,,,,,,,,,0.2795656691712152,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.1317482],,,,,,0,,,,,0.47126030112047074,[0.5287397],,0.24917402970831395,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.02231012],[-0.00508367],,,,,,0,,,,,,,,0.22786376150217494,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.01026593],[0.00208445],,,,,,1,,,,,,,,0.20304506086084237,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.],,,,,,[0.54924197],,[0.54924197],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.],,,,,,[0.33357822],,[0.33357822],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.00254183],,,,,,[0.61139914],,[0.61394098],,,,,weight_update_input_hidden,,,0,[-0.00254183],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.00104222],,,,,,[0.93198093],,[0.93093871],,,,,weight_update_input_hidden,,,1,[0.00104222],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.04273797],,,,,,[-0.12660111],,[-0.16933907],,,,,weight_update_hidden_output,,,0,[0.04273797],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.04721137],,,,,,[0.12513219],,[0.07792082],,,,,weight_update_hidden_output,,,0,[0.04721137],
,[-0.00254183],Bias update: hidden neuron 0,,,,,,[-0.00254183],,,,0,[-0.00279088],,[-0.00024905],,,,,,bias_update_hidden,,,,,
,[0.00104222],Bias update: hidden neuron 1,,,,,,[0.00104222],,,,1,[-0.00179045],,[-0.00283267],,,,,,bias_update_hidden,,,,,
,[0.0658741],Bias update: output neuron 0,,,,,,[0.0658741],,,,0,[0.00480754],,[-0.06106656],,,,,,bias_update_output,,,,,
