activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 1 in epoch 1,1,,,,,,[0.],[1.],,,,,,,,,1,,sample_info,,[1.],,,
0.6493997415613214,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.61640175]
0.7169717088664946,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[0.92948952]
0.4707756258062158,,Output neuron 0 forward pass,,[0.52922437],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.11703089]
,,MSE loss calculation,,,,,,,,,0.28007843824080253,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.1318541],,,,,,0,,,,,0.4707756258062158,[0.52922437],,0.24914593595298168,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.02248214],[-0.00511873],,,,,,0,,,,,,,,0.22767971722141037,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.01013155],[0.00205593],,,,,,1,,,,,,,,0.2029232775515531,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.],,,,,,[0.55003899],,[0.55003899],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.],,,,,,[0.33350744],,[0.33350744],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.00255936],,,,,,[0.61288178],,[0.61544114],,,,,weight_update_input_hidden,,,0,[-0.00255936],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.00102796],,,,,,[0.93275843],,[0.93173046],,,,,weight_update_input_hidden,,,1,[0.00102796],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.04281301],,,,,,[-0.12769467],,[-0.17050768],,,,,weight_update_hidden_output,,,0,[0.04281301],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.04726783],,,,,,[0.12410696],,[0.07683913],,,,,weight_update_hidden_output,,,0,[0.04726783],
,[-0.00255936],Bias update: hidden neuron 0,,,,,,[-0.00255936],,,,0,[-0.00159875],,[0.00096061],,,,,,bias_update_hidden,,,,,
,[0.00102796],Bias update: hidden neuron 1,,,,,,[0.00102796],,,,1,[-0.00121298],,[-0.00224094],,,,,,bias_update_hidden,,,,,
,[0.06592705],Bias update: output neuron 0,,,,,,[0.06592705],,,,0,[0.00453233],,[-0.06139472],,,,,,bias_update_output,,,,,
