activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 1 in epoch 3,3,,,,,,[0.],[1.],,,,,,,,,1,,sample_info,,[1.],,,
0.6481686960844298,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.61099919]
0.7164097063166948,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[0.92672165]
0.4716532552968615,,Output neuron 0 forward pass,,[0.52834674],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.11350869]
,,MSE loss calculation,,,,,,,,,0.27915028263840336,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.13166214],,,,,,0,,,,,0.4716532552968615,[0.52834674],,0.24919646206473506,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.02215901],[-0.00505327],,,,,,0,,,,,,,,0.22804603750063987,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.01038493],[0.00210987],,,,,,1,,,,,,,,0.20316683901192192,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.],,,,,,[0.54845155],,[0.54845155],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.],,,,,,[0.33364942],,[0.33364942],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.00252664],,,,,,[0.60992192],,[0.61244856],,,,,weight_update_input_hidden,,,0,[-0.00252664],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.00105494],,,,,,[0.93120232],,[0.93014739],,,,,weight_update_input_hidden,,,1,[0.00105494],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.04266964],,,,,,[-0.12563244],,[-0.16830208],,,,,weight_update_hidden_output,,,0,[0.04266964],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.04716202],,,,,,[0.12603765],,[0.07887563],,,,,weight_update_hidden_output,,,0,[0.04716202],
,[-0.00252664],Bias update: hidden neuron 0,,,,,,[-0.00252664],,,,0,[-0.00397601],,[-0.00144937],,,,,,bias_update_hidden,,,,,
,[0.00105494],Bias update: hidden neuron 1,,,,,,[0.00105494],,,,1,[-0.0023708],,[-0.00342574],,,,,,bias_update_hidden,,,,,
,[0.06583107],Bias update: output neuron 0,,,,,,[0.06583107],,,,0,[0.00490325],,[-0.06092782],,,,,,bias_update_output,,,,,
