activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 2 in epoch 3,3,,,,,,[1.],[0.],,,,,,,,,2,,sample_info,,[1.],,,
0.6328529263522542,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.54447554]
0.5820704520224953,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[0.33127862]
0.49968979506953076,,Output neuron 0 forward pass,,[0.5003102],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.00124082]
,,MSE loss calculation,,,,,,,,,0.2503103011575682,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.1250775],,,,,,0,,,,,0.49968979506953076,[0.5003102],,0.24999990377290113,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.01571379],[-0.0036511],,,,,,0,,,,,,,,0.2323500999596425,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.01576447],[0.00383494],,,,,,1,,,,,,,,0.2432644409048233,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.00182555],,,,,,[0.546626],,[0.54845155],,,,,weight_update_input_hidden,,,0,[-0.00182555],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.00191747],,,,,,[0.33556689],,[0.33364942],,,,,weight_update_input_hidden,,,1,[0.00191747],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.],,,,,,[0.60992192],,[0.60992192],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.],,,,,,[0.93120232],,[0.93120232],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.03957783],,,,,,[-0.08605461],,[-0.12563244],,,,,weight_update_hidden_output,,,0,[0.03957783],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.03640196],,,,,,[0.16243961],,[0.12603765],,,,,weight_update_hidden_output,,,0,[0.03640196],
,[-0.00182555],Bias update: hidden neuron 0,,,,,,[-0.00182555],,,,0,[-0.00580156],,[-0.00397601],,,,,,bias_update_hidden,,,,,
,[0.00191747],Bias update: hidden neuron 1,,,,,,[0.00191747],,,,1,[-0.00045333],,[-0.0023708],,,,,,bias_update_hidden,,,,,
,[0.06253875],Bias update: output neuron 0,,,,,,[0.06253875],,,,0,[0.067442],,[0.00490325],,,,,,bias_update_output,,,,,
