activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 4,4,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.7590237710347904,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[1.1473348]
0.7798939416743956,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[1.26504842]
0.5324451016254397,,Output neuron 0 forward pass,,[-0.5324451],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[0.12996303]
,,MSE loss calculation,,,,,,,,,0.2834977862449248,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.13255078],,,,,,0,,,,,0.5324451016254397,[-0.5324451],,0.2489473153805149,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.01129809],[0.0020665],,,,,,0,,,,,,,,0.1829066860389165,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.02163528],[-0.0037139],,,,,,1,,,,,,,,0.17165938141397002,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.00103325],,,,,,[0.5468871],,[0.54585386],,,,,weight_update_input_hidden,,,0,[0.00103325],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.00185695],,,,,,[0.33379304],,[0.33564999],,,,,weight_update_input_hidden,,,1,[-0.00185695],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.00103325],,,,,,[0.60948268],,[0.60844943],,,,,weight_update_input_hidden,,,0,[0.00103325],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.00185695],,,,,,[0.92856593],,[0.93042288],,,,,weight_update_input_hidden,,,1,[-0.00185695],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.0503046],,,,,,[-0.13554052],,[-0.08523592],,,,,weight_update_hidden_output,,,0,[-0.0503046],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.05168777],,,,,,[0.11153482],,[0.16322259],,,,,weight_update_hidden_output,,,0,[-0.05168777],
,[0.00103325],Bias update: hidden neuron 0,,,,,,[0.00103325],,,,0,[-0.00593524],,[-0.00696848],,,,,,bias_update_hidden,,,,,
,[-0.00185695],Bias update: hidden neuron 1,,,,,,[-0.00185695],,,,1,[-0.0028814],,[-0.00102445],,,,,,bias_update_hidden,,,,,
,[-0.06627539],Bias update: output neuron 0,,,,,,[-0.06627539],,,,0,[0.00108742],,[0.0673628],,,,,,bias_update_output,,,,,
