activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 1,1,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.5987604274267806,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.40030288]
0.14323003761496503,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-1.78871747]
0.40780092843760646,,Output neuron 0 forward pass,,[-0.40780093],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-0.37306371]
,,MSE loss calculation,,,,,,,,,0.16630159723457383,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.09848365],,,,,,0,,,,,0.40780092843760646,[-0.40780093],,0.2414993312030326,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.08266836],[0.01986077],,,,,,0,,,,,,,,0.2402463779744796,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.02342788],[0.00287496],,,,,,1,,,,,,,,0.12271519393978074,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.00993039],,,,,,[0.11967038],,[0.10973999],,,,,weight_update_input_hidden,,,0,[0.00993039],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.00143748],,,,,,[-0.9348087],,[-0.93624618],,,,,weight_update_input_hidden,,,1,[0.00143748],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.00993039],,,,,,[0.33775793],,[0.32782754],,,,,weight_update_input_hidden,,,0,[0.00993039],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.00143748],,,,,,[-0.84124805],,[-0.84268553],,,,,weight_update_input_hidden,,,1,[0.00143748],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.02948406],,,,,,[-0.86889611],,[-0.83941205],,,,,weight_update_hidden_output,,,0,[-0.02948406],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.00705291],,,,,,[-0.24493888],,[-0.23788597],,,,,weight_update_hidden_output,,,0,[-0.00705291],
,[0.00993039],Bias update: hidden neuron 0,,,,,,[0.00993039],,,,0,[-0.02733427],,[-0.03726466],,,,,,bias_update_hidden,,,,,
,[0.00143748],Bias update: hidden neuron 1,,,,,,[0.00143748],,,,1,[-0.00834828],,[-0.00978576],,,,,,bias_update_hidden,,,,,
,[-0.04924183],Bias update: output neuron 0,,,,,,[-0.04924183],,,,0,[0.1143736],,[0.16361542],,,,,,bias_update_output,,,,,
