activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 2 in epoch 1000,1000,,,,,,[1.],[0.],,,,,,,,,2,,sample_info,,[1.],,,
0.14494571477481405,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[-1.77480567]
0.028467042716086112,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-3.53012817]
0.8843315936073192,,Output neuron 0 forward pass,,[0.11566841],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[2.03410457]
,,MSE loss calculation,,,,,,,,,0.01337918023742237,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.01183163],,,,,,0,,,,,0.8843315936073192,[0.11566841],,0.10228922615525847,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.07417703],[-0.00919324],,,,,,0,,,,,,,,0.1239364545432323,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.07569185],[-0.00209338],,,,,,1,,,,,,,,0.02765667019508664,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.00459662],,,,,,[3.27042877],,[3.27502539],,,,,weight_update_input_hidden,,,0,[-0.00459662],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.00104669],,,,,,[-5.22588836],,[-5.22484167],,,,,weight_update_input_hidden,,,1,[-0.00104669],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.],,,,,,[3.25720277],,[3.25720277],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.],,,,,,[-5.23129652],,[-5.23129652],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.00085747],,,,,,[-6.26852571],,[-6.26938318],,,,,weight_update_hidden_output,,,0,[0.00085747],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.00016841],,,,,,[-6.39724594],,[-6.39741435],,,,,weight_update_hidden_output,,,0,[0.00016841],
,[-0.00459662],Bias update: hidden neuron 0,,,,,,[-0.00459662],,,,0,[-5.05442768],,[-5.04983106],,,,,,bias_update_hidden,,,,,
,[-0.00104669],Bias update: hidden neuron 1,,,,,,[-0.00104669],,,,1,[1.69366681],,[1.6947135],,,,,,bias_update_hidden,,,,,
,[0.00591582],Bias update: output neuron 0,,,,,,[0.00591582],,,,0,[3.13085608],,[3.12494026],,,,,,bias_update_output,,,,,
