activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 1 in epoch 3,3,,,,,,[0.],[1.],,,,,,,,,1,,sample_info,,[1.],,,
0.5754925460553109,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.30429671]
0.2988463068756331,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-0.85279769]
0.3857678052789891,,Output neuron 0 forward pass,,[0.61423219],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.46513738]
,,MSE loss calculation,,,,,,,,,0.37728118903179,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.14554294],,,,,,0,,,,,0.3857678052789891,[0.61423219],,0.23695100568922106,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.12621797],[-0.03083516],,,,,,0,,,,,,,,0.24430087549008678,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.03757168],[-0.00787267],,,,,,1,,,,,,,,0.20953719174242805,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.],,,,,,[0.11470031],,[0.11470031],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.],,,,,,[-0.93692297],,[-0.93692297],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.01541758],,,,,,[0.31656468],,[0.33198226],,,,,weight_update_input_hidden,,,0,[-0.01541758],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.00393633],,,,,,[-0.84788683],,[-0.8439505],,,,,weight_update_input_hidden,,,1,[-0.00393633],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.04187944],,,,,,[-0.82534211],,[-0.86722155],,,,,weight_update_hidden_output,,,0,[0.04187944],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.02174748],,,,,,[-0.23640097],,[-0.25814846],,,,,weight_update_hidden_output,,,0,[0.02174748],
,[-0.01541758],Bias update: hidden neuron 0,,,,,,[-0.01541758],,,,0,[-0.04310313],,[-0.02768555],,,,,,bias_update_hidden,,,,,
,[-0.00393633],Bias update: hidden neuron 1,,,,,,[-0.00393633],,,,1,[-0.01278353],,[-0.0088472],,,,,,bias_update_hidden,,,,,
,[0.07277147],Bias update: output neuron 0,,,,,,[0.07277147],,,,0,[0.18386034],,[0.11108888],,,,,,bias_update_output,,,,,
