activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 0 in epoch 1000,1000,,,,,,[0.],[0.],,,,,,,,,0,,sample_info,,[0.],,,
0.006397568213888226,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[-5.04541921]
0.8445767244046953,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[1.69268338]
0.08963845803766664,,Output neuron 0 forward pass,,[-0.08963846],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-2.31805737]
,,MSE loss calculation,,,,,,,,,0.008035053159370522,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.0073148],,,,,,0,,,,,0.08963845803766664,[-0.08963846],,0.0816034048782961,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.04586534],[0.00029155],,,,,,0,,,,,,,,0.0063566393348368725,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.04677446],[0.00613994],,,,,,1,,,,,,,,0.13126688099853065,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.],,,,,,[3.27502539],,[3.27502539],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.],,,,,,[-5.22484167],,[-5.22484167],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.],,,,,,[3.2617604],,[3.2617604],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.],,,,,,[-5.23025667],,[-5.23025667],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[-2.33984768e-05],,,,,,[-6.2702322],,[-6.2702088],,,,,weight_update_hidden_output,,,0,[-2.33984768e-05],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.00308896],,,,,,[-6.39758163],,[-6.39449267],,,,,weight_update_hidden_output,,,0,[-0.00308896],
,[0.00014577],Bias update: hidden neuron 0,,,,,,[0.00014577],,,,0,[-5.04527343],,[-5.04541921],,,,,,bias_update_hidden,,,,,
,[0.00306997],Bias update: hidden neuron 1,,,,,,[0.00306997],,,,1,[1.69575335],,[1.69268338],,,,,,bias_update_hidden,,,,,
,[-0.0036574],Bias update: output neuron 0,,,,,,[-0.0036574],,,,0,[3.11903899],,[3.12269639],,,,,,bias_update_output,,,,,
