activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 2 in epoch 1,1,,,,,,[1.],[0.],,,,,,,,,2,,sample_info,,[1.],,,
0.5260273929487879,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.10420376]
0.2812112530381239,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-0.93846132]
0.39099321542701787,,Output neuron 0 forward pass,,[0.60900678],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.4431392]
,,MSE loss calculation,,,,,,,,,0.3708892636559226,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.14501519],,,,,,0,,,,,0.39099321542701787,[0.60900678],,0.23811752091705946,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.12725852],[-0.03172842],,,,,,0,,,,,,,,0.2493225748162894,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.03745393],[-0.00757062],,,,,,1,,,,,,,,0.20213148420285215,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.01586421],,,,,,[0.10973999],,[0.12560421],,,,,weight_update_input_hidden,,,0,[-0.01586421],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.00378531],,,,,,[-0.93624618],,[-0.93246087],,,,,weight_update_input_hidden,,,1,[-0.00378531],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.],,,,,,[0.32782754],,[0.32782754],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.],,,,,,[-0.84268553],,[-0.84268553],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.03814098],,,,,,[-0.83941205],,[-0.87755303],,,,,weight_update_hidden_output,,,0,[0.03814098],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.02038995],,,,,,[-0.23788597],,[-0.25827592],,,,,weight_update_hidden_output,,,0,[0.02038995],
,[-0.01586421],Bias update: hidden neuron 0,,,,,,[-0.01586421],,,,0,[-0.03726466],,[-0.02140045],,,,,,bias_update_hidden,,,,,
,[-0.00378531],Bias update: hidden neuron 1,,,,,,[-0.00378531],,,,1,[-0.00978576],,[-0.00600045],,,,,,bias_update_hidden,,,,,
,[0.07250759],Bias update: output neuron 0,,,,,,[0.07250759],,,,0,[0.16361542],,[0.09110783],,,,,,bias_update_output,,,,,
