activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 1000,1000,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.8135438696774663,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[1.47320387]
0.0001563092101997382,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-8.76351807]
0.12240343771161931,,Output neuron 0 forward pass,,[-0.12240344],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-1.96986454]
,,MSE loss calculation,,,,,,,,,0.014982601563622269,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.01314868],,,,,,0,,,,,0.12240343771161931,[-0.12240344],,0.10742083614799704,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.08242284],[0.01250274],,,,,,0,,,,,,,,0.15169024178768004,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.08411534],[1.31459468e-05],,,,,,1,,,,,,,,0.00015628477763054491,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.00625137],,,,,,[3.27668014],,[3.27042877],,,,,weight_update_input_hidden,,,0,[0.00625137],
,,Weight update: input 0 -> hidden 1,,,,,0,[6.5729734e-06],,,,,,[-5.22588179],,[-5.22588836],,,,,weight_update_input_hidden,,,1,[6.5729734e-06],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.00625137],,,,,,[3.26345414],,[3.25720277],,,,,weight_update_input_hidden,,,0,[0.00625137],
,,Weight update: input 1 -> hidden 1,,,,,1,[6.5729734e-06],,,,,,[-5.23128995],,[-5.23129652],,,,,weight_update_input_hidden,,,1,[6.5729734e-06],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.00534851],,,,,,[-6.27387422],,[-6.26852571],,,,,weight_update_hidden_output,,,0,[-0.00534851],
,,Weight update: hidden 1 -> output 0,,,,,1,[-1.02762986e-06],,,,,,[-6.39724697],,[-6.39724594],,,,,weight_update_hidden_output,,,0,[-1.02762986e-06],
,[0.00625137],Bias update: hidden neuron 0,,,,,,[0.00625137],,,,0,[-5.04817631],,[-5.05442768],,,,,,bias_update_hidden,,,,,
,[6.5729734e-06],Bias update: hidden neuron 1,,,,,,[6.5729734e-06],,,,1,[1.69367338],,[1.69366681],,,,,,bias_update_hidden,,,,,
,[-0.00657434],Bias update: output neuron 0,,,,,,[-0.00657434],,,,0,[3.12428174],,[3.13085608],,,,,,bias_update_output,,,,,
