activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 2 in epoch 3,3,,,,,,[1.],[0.],,,,,,,,,2,,sample_info,,[1.],,,
0.517891654436316,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.07159719]
0.2789438510314502,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-0.9497065]
0.4232318942778759,,Output neuron 0 forward pass,,[0.57676811],,,,,,,,0,,,,,,,,,forward_output,[1.],,,,[-0.30952005]
,,MSE loss calculation,,,,,,,,,0.3326614477782873,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[0.14079293],,,,,,0,,,,,0.4232318942778759,[0.57676811],,0.24410665794383676,backprop_output_error,[1.],,,,
,,Hidden neuron 0 error calculation,,,[-0.11620234],[-0.02901339],,,,,,0,,,,,,,,0.24967988870153146,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.03328359],[-0.00669447],,,,,,1,,,,,,,,0.20113417900319433,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[-0.01450669],,,,,,[0.10019362],,[0.11470031],,,,,weight_update_input_hidden,,,0,[-0.01450669],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.00334723],,,,,,[-0.9402702],,[-0.93692297],,,,,weight_update_input_hidden,,,1,[-0.00334723],
,,Weight update: input 1 -> hidden 0,,,,,1,[-0.],,,,,,[0.31656468],,[0.31656468],,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.],,,,,,[-0.84788683],,[-0.84788683],,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[0.03645774],,,,,,[-0.78888437],,[-0.82534211],,,,,weight_update_hidden_output,,,0,[0.03645774],
,,Weight update: hidden 1 -> output 0,,,,,1,[0.01963666],,,,,,[-0.21676431],,[-0.23640097],,,,,weight_update_hidden_output,,,0,[0.01963666],
,[-0.01450669],Bias update: hidden neuron 0,,,,,,[-0.01450669],,,,0,[-0.05760982],,[-0.04310313],,,,,,bias_update_hidden,,,,,
,[-0.00334723],Bias update: hidden neuron 1,,,,,,[-0.00334723],,,,1,[-0.01613076],,[-0.01278353],,,,,,bias_update_hidden,,,,,
,[0.07039647],Bias update: output neuron 0,,,,,,[0.07039647],,,,0,[0.25425681],,[0.18386034],,,,,,bias_update_output,,,,,
