activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 3,3,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.588834289044815,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.35914848]
0.14132991550566498,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-1.8042878]
0.4400644145610318,,Output neuron 0 forward pass,,[-0.44006441],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-0.24090064]
,,MSE loss calculation,,,,,,,,,0.19365668896294366,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.10843527],,,,,,0,,,,,0.4400644145610318,[-0.44006441],,0.24640772559808816,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.08554289],[0.02071066],,,,,,0,,,,,,,,0.24210846908990225,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.0235049],[0.00285245],,,,,,1,,,,,,,,0.12135577048882658,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.01035533],,,,,,[0.11054895],,[0.10019362],,,,,weight_update_input_hidden,,,0,[0.01035533],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.00142623],,,,,,[-0.93884398],,[-0.9402702],,,,,weight_update_input_hidden,,,1,[0.00142623],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.01035533],,,,,,[0.32692001],,[0.31656468],,,,,weight_update_input_hidden,,,0,[0.01035533],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.00142623],,,,,,[-0.8464606],,[-0.84788683],,,,,weight_update_input_hidden,,,1,[0.00142623],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.0319252],,,,,,[-0.82080957],,[-0.78888437],,,,,weight_update_hidden_output,,,0,[-0.0319252],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.00766257],,,,,,[-0.22442689],,[-0.21676431],,,,,weight_update_hidden_output,,,0,[-0.00766257],
,[0.01035533],Bias update: hidden neuron 0,,,,,,[0.01035533],,,,0,[-0.04725449],,[-0.05760982],,,,,,bias_update_hidden,,,,,
,[0.00142623],Bias update: hidden neuron 1,,,,,,[0.00142623],,,,1,[-0.01470454],,[-0.01613076],,,,,,bias_update_hidden,,,,,
,[-0.05421764],Bias update: output neuron 0,,,,,,[-0.05421764],,,,0,[0.20003918],,[0.25425681],,,,,,bias_update_output,,,,,
