activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 0,0,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.6050330888352696,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.42648116]
0.1443587367091443,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-1.77954977]
0.38785338846667905,,Output neuron 0 forward pass,,[-0.38785339],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-0.45634441]
,,MSE loss calculation,,,,,,,,,0.15043025094508464,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.09208537],,,,,,0,,,,,0.38785338846667905,[-0.38785339],,0.2374231375215944,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.08021558],[0.01916896],,,,,,0,,,,,,,,0.23896805024972237,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.02320999],[0.00286688],,,,,,1,,,,,,,,0.12351929184488424,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.00958448],,,,,,[0.12560421],,[0.11601972],,,,,weight_update_input_hidden,,,0,[0.00958448],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.00143344],,,,,,[-0.93246087],,[-0.93389431],,,,,weight_update_input_hidden,,,1,[0.00143344],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.00958448],,,,,,[0.34435252],,[0.33476804],,,,,weight_update_input_hidden,,,0,[0.00958448],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.00143344],,,,,,[-0.83831996],,[-0.8397534],,,,,weight_update_input_hidden,,,1,[0.00143344],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.02785735],,,,,,[-0.89895754],,[-0.87110019],,,,,weight_update_hidden_output,,,0,[-0.02785735],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.00664666],,,,,,[-0.25869527],,[-0.2520486],,,,,weight_update_hidden_output,,,0,[-0.00664666],
,[0.00958448],Bias update: hidden neuron 0,,,,,,[0.00958448],,,,0,[-0.01472213],,[-0.02430661],,,,,,bias_update_hidden,,,,,
,[0.00143344],Bias update: hidden neuron 1,,,,,,[0.00143344],,,,1,[-0.00446862],,[-0.00590206],,,,,,bias_update_hidden,,,,,
,[-0.04604268],Bias update: output neuron 0,,,,,,[-0.04604268],,,,0,[0.06104276],,[0.10708544],,,,,,bias_update_output,,,,,
