activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 2,2,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.5934027245688483,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.3780501]
0.14222807672731477,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[-1.7969063]
0.42514672388813796,,Output neuron 0 forward pass,,[-0.42514672],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[-0.30168049]
,,MSE loss calculation,,,,,,,,,0.18074973683281662,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.10390458],,,,,,0,,,,,0.42514672388813796,[-0.42514672],,0.24439698705532137,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.08438783],[0.02036075],,,,,,0,,,,,,,,0.24127593104311584,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[0.02350401],[0.00286747],,,,,,1,,,,,,,,0.12199925091776384,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.01018038],,,,,,[0.11470031],,[0.10451994],,,,,weight_update_input_hidden,,,0,[0.01018038],
,,Weight update: input 0 -> hidden 1,,,,,0,[0.00143374],,,,,,[-0.93692297],,[-0.9383567],,,,,weight_update_input_hidden,,,1,[0.00143374],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.01018038],,,,,,[0.33198226],,[0.32180188],,,,,weight_update_input_hidden,,,0,[0.01018038],
,,Weight update: input 1 -> hidden 1,,,,,1,[0.00143374],,,,,,[-0.8439505],,[-0.84538423],,,,,weight_update_input_hidden,,,1,[0.00143374],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.03082863],,,,,,[-0.84299522],,[-0.81216659],,,,,weight_update_hidden_output,,,0,[-0.03082863],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.00738907],,,,,,[-0.23359668],,[-0.22620761],,,,,weight_update_hidden_output,,,0,[-0.00738907],
,[0.01018038],Bias update: hidden neuron 0,,,,,,[0.01018038],,,,0,[-0.03809135],,[-0.04827172],,,,,,bias_update_hidden,,,,,
,[0.00143374],Bias update: hidden neuron 1,,,,,,[0.00143374],,,,1,[-0.01173163],,[-0.01316536],,,,,,bias_update_hidden,,,,,
,[-0.05195229],Bias update: output neuron 0,,,,,,[-0.05195229],,,,0,[0.16048216],,[0.21243445],,,,,,bias_update_output,,,,,
